Tamaño del vector, bytes, tiempo_local, tiempo_global, tiempo_dinamico
65536,262144, 0.000464506,0.000296423,0.000458377
131072,524288, 0.000866293,0.000372427,0.000868672
262144,1048576, 0.001754570,0.000763470,0.001770848
524288,2097152, ,0.001507060,0.002420031
1048576,4194304, ,0.002049937,0.002169464
2097152,8388608, ,0.003451831,0.003718010
4194304,16777216, ,0.006499419,0.006639165
8388608,33554432, ,0.012719224,0.012803862
16777216,67108864, ,0.025242451,0.024682400
33554432,134217728, ,0.050592126,0.048995533
67108864,268435456, ,0.050333151,0.097832902
