Tamaño del vector, bytes, tiempo_local, tiempo_global, tiempo_dinamico
65536,262144, 0.001026882,0.000258063,0.000181300
131072,524288, 0.000381998,0.000366224,0.001187155
262144,1048576, 0.000805787,0.000780494,0.000803959
524288,2097152, ,0.001730071,0.001795679
1048576,4194304, ,0.004222815,0.003540674
2097152,8388608, ,0.008706883,0.011322684
4194304,16777216, ,0.013620243,0.020811981
8388608,33554432, ,0.031845931,0.039724046
16777216,67108864, ,0.051919887,0.054715475
33554432,134217728, ,0.110734032,0.107348573
67108864,268435456, ,0.106736927,0.217921471
